Anchorage, AK	99501 99502 99503
Oklahoma-City, OK	73101 73102 73103
Stillwater, OK	74074 74075 74076
Tulsa, OK	74101 74102 74103


Beaverton, OR	97003 97005 97006
Bend, OR	97701 97702 97703
Corvallis, OR	97330 97331 97333
Eugene, OR	97401 97402 97403
Gresham, OR	97030 97080
Hillsboro, OR	97003 97006 97123
Medford, OR	97501 97502 97503
Portland, OR	97086 97201 97202
Salem, OR	97301 97302 97303
Springfield, OR	97475 97477 97478


Allentown, PA	18101 18102 18103
Bensalem, PA	19020 19021
Erie, PA	16501 16502 16503
Lower-Merion, PA	19083
Philadelphia, PA	19019 19092 19093
Pittsburgh, PA	15122 15201 15202
Scranton, PA	18501 18502 18503
Upper-Darby, PA	19082


Coventry, RI	02816 02827
Cranston, RI	02905 02907 02910
Cumberland, RI	02864 @
East-Providence, RI	02914 @
North-Providence, RI	02904 02908 02911
Pawtucket, RI	02860 02861 02862
Providence, RI	02901 02902 02903
South-Kingstown, RI	02879 02880
Warwick, RI	02886 02887 02888
Woonsocket, RI	02895 @

city list of South Carolina with zip code:
Charleston, SC	29401 29402 29403
Columbia, SC	29201 29202 29203
North-Charleston, SC	29405 29406 29410
Mount-Pleasant, SC	29429 29464 29465
Rock-Hill, SC	29730 29731 29732
Greenville, SC	29601 29602 29603
Summerville, SC	29483 29484 29485
Goose-Creek, SC	29445
Hilton-Head-Island, SC	29925 29926 29928
Sumter, SC	29150 29151 29153



Aberdeen, SD	57401 57402
Brookings, SD	57006 57007
Huron, SD	57350 57399
Mitchell, SD	57301
Pierre, SD	57501
Rapid-City, SD	57701 57702 57703

Spearfish, SD	57783 57799
Watertown, SD	57201
Yankton, SD	57078


Bartlett, TN	38002
Chattanooga, TN	37401 37402 37403
Clarksville, TN	37040 37041 37042
Franklin, TN	37064 37065 37067
Jackson, TN	38301 38302 38303
Johnson-City, TN	37601 37602 37604
Knoxville, TN	37901 37902 37909
Memphis, TN	37501 37544 38101
Murfreesboro, TN	37127 37128 37129


Arlington, TX	76001 76002 76003
Austin, TX	73301 73344 78681
Corpus-Christi, TX	78401 78402 78403
Dallas, TX	75201 75202 75203
El-Paso, TX	79835 79901 79902
Fort-Worth, TX	76008 76036 76101
Houston, TX	77001 77002 77003
Laredo, TX	78040 78041 78042
Plano, TX	75023 75024 75025
San-Antonio, TX	78201 78202 78203


Layton, UT	84040 84041
Ogden, UT	84201 84244 84401
Orem, UT	84057 84058 84059
Provo, UT	84601 84602 84603
Salt-Lake-City, UT	84101 84102 84103
Sandy, UT	84070 84090 84091
South-Jordan, UT	84009 84065 84095
West-Jordan, UT	84081 84084 84088
West-Valley-City, UT	84081 84118 84119


Alexandria, VA	20598 22301 22302
Arlington, VA	20598 22201 22202
Chesapeake, VA	23320 23321 23322
Hampton, VA	23605 23630 23651
Newport-News, VA	23601 23602 23603
Norfolk, VA	23501 23502 23503
Portsmouth, VA	23701 23702 23703
Richmond, VA	23173 23218 23219
Roanoke, VA	24001 24002 24003
Virginia-Beach, VA	23450 23451 23452


Bennington, VT	05201 
Brattleboro, VT	05301 05302 05303
Burlington, VT	05401 05402 05405
Colchester, VT	05439 05446 05449
Essex, VT	05451 05452
Essex-Junction, VT	05452 05453
Milton, VT	05468 
South-Burlington, VT	05403 05407
Williston, VT	05495 


Bellevue, WA	98004 98005 98006
Everett, WA	98201 98203 98204
Federal-Way, WA	98001 98003 98023
Kent, WA	98030 98031 98032
Renton, WA	98055 98056 98057
Seattle, WA	98101 98102 98103
Spokane, WA	99201 99202 99203
Spokane-Valley, WA	99016
Tacoma, WA	98401 98402 98403
Vancouver, WA	98660 98661 98662


Appleton, WI	54911 54912 54913
Eau-Claire, WI	54701 54702 54703
Green-Bay, WI	54229 54301 54302
Janesville, WI	53545 53546 53547
Kenosha, WI	53140 53141 53142
Madison, WI	53701 53702 53703
Milwaukee, WI	53201 53202 53203
Oshkosh, WI	54901 54902 54903
Racine, WI	53401 53402 53403
Waukesha, WI	53186 53187 53188


Beckley, WV	25801 25802
Charleston, WV	25301 25302 25303
Clarksburg, WV	26301 26302 26306
Fairmont, WV	26554 26555
Huntington, WV	25701 25702 25703
Martinsburg, WV	25401 25402 25403
Morgantown, WV	26501 26502 26504
Parkersburg, WV	26101 26102 26103
Weirton, WV	26062
Wheeling, WV	26003


Casper, WY	82601 82602 82604
Cheyenne, WY	82001 82002 82003
Evanston, WY	82930 82931
Gillette, WY	82716 82717 82718
Green-River, WY	82935 82938
Jackson, WY	83001 83002
Laramie, WY	82051 82063 82070
Riverton, WY	82501
Rock-Springs, WY	82901 82902 82942
Sheridan, WY	82801
